Southern Co/The,0.12,15 106,5 042 725
Standard Chartered Plc,0.12,40 461,5 013 438
Takeda Pharmaceutical Co Ltd,0.12,12 900,5 001 332
Deere & Co,0.11,7 316,4 990 342
Automatic Data Processing Inc,0.11,7 754,4 939 695
Kimberly-Clark Corp,0.11,5 957,4 923 872
Yum! Brands Inc,0.11,7 577,4 908 014
Wesfarmers Ltd,0.11,18 651,4 845 453
Hong Kong Exchanges and Clearing Ltd,0.11,16 800,4 844 248
Anthem Inc,0.11,4 250,4 833 665
Regeneron Pharmaceuticals Inc,0.11,1 400,4 826 066
Linde AG,0.11,3 247,4 805 947
Baxter International Inc,0.11,9 271,4 802 288
Bayerische Motoren Werke Ag,0.11,5 321,4 798 793
ASML Holding NV,0.11,5 841,4 769 819
Aetna Inc,0.11,5 900,4 751 381
Williams Cos Inc/The,0.11,12 274,4 734 600
Manulife Financial Corp,0.11,34 549,4 720 045
Hennes & Mauritz B,0.11,15 725,4 715 507
Volkswagen Ag,0.11,2 398,4 700 524
Yahoo! Inc,0.11,14 650,4 698 966
Adobe Systems Inc,0.11,8 145,4 668 308
Charles Schwab Corp/The,0.11,20 260,4 656 412
Prudential Financial Inc,0.11,7 562,4 649 850
Canadian Natural Resources Ltd,0.11,18 641,4 649 257
Sony Corp,0.11,20 200,4 635 708
CSX Corp,0.1,16 664,4 531 878
Syngenta AG,0.1,1 754,4 510 653
Praxair Inc,0.1,4 903,4 504 894
Cognizant Technology Solutions Corp,0.1,10 148,4 476 569
Ace Ltd,0.1,5 513,4 447 524
Societe Generale Sa,0.1,11 560,4 416 718
Muenchener Rueckversicherungs Ag,0.1,2 941,4 396 411
Travelers Cos Inc/The,0.1,5 752,4 382 532
Rolls-Royce Holdings PLC,0.1,36 101,4 372 866
Ecolab Inc,0.1,5 158,4 352 451
Alexion Pharmaceuticals Inc,0.1,3 408,4 345 993
Csl Ltd,0.1,7 998,4 324 927
East Japan Railway Co,0.1,6 424,4 285 814
Astellas Pharma Inc,0.1,36 300,4 273 256
Air Products & Chemicals Inc,0.1,3 952,4 271 388
Ppg Industries Inc,0.1,2 558,4 270 748
Canadian Pacific Railway Ltd,0.1,2 984,4 270 331
TransCanada Corp,0.1,12 226,4 259 422
Iberdrola SA,0.1,84 199,4 249 458
Pernod Ricard Sa,0.1,4 447,4 188 449
Aviva Plc,0.1,68 339,4 170 562
Telefonaktiebolaget L.M Ericsson B,0.1,50 455,4 163 853
Stryker Corp,0.09,5 895,4 097 464
Liberty Global Plc,0.09,10 734,4 080 702
Cummins Inc,0.09,3 906,4 069 498
Orange Sa,0.09,31 357,4 052 660
UniCredit SpA,0.09,73 879,4 023 686
Micron Technology Inc,0.09,18 892,4 004 606
E.ON SE,0.09,33 371,3 988 184
Inditex Sa,0.09,16 367,3 975 554
State Street Corp,0.09,6 816,3 961 035
Paccar Inc,0.09,8 043,3 960 735
Enel SpA,0.09,110 531,3 953 515
Brookfield Asset Management Inc,0.09,9 760,3 944 945
Vinci SA,0.09,8 416,3 939 122
Swiss Re Ag,0.09,5 870,3 923 358
Mylan NV,0.09,7 187,3 913 431
Seven & I Holdings Co Ltd,0.09,12 000,3 910 375
Cme Group Inc/Il,0.09,5 615,3 846 569
